MovieID	IDSubtitleFile	SubLanguageID	IDSubtitle	SubActualCD	SubSumCD	SubFormat	MovieName	MovieYear
29690	1951714814	eng	3163664	1	1	srt	Balkanski spijun	1984
29691	1952544240	eng	3878107	1	1	srt	Opportunity Knocks	1990
29696	1951715013	eng	3163767	1	2	srt	Sainikudu	2006
29698	1951715022	eng	3163774	1	1	srt	It Had to Be You	1947
29699	1951715033	eng	3163783	1	1	srt	Happy End	1967
29700	1951733285	eng	3177321	1	1	srt	Heima	2007
29708	1951715075	eng	3163821	1	22	srt	"Murder, She Wrote"	1984
29710	1951715129	eng	3163842	1	1	srt	Padre nuestro	2005
29713	1951715142	eng	3163855	1	2	srt	Oodarathuammava Aalariyam	1984
29715	1952321173	eng	3674584	1	1	srt	Love & Sex	2000
29717	1952026783	eng	3417541	1	1	srt	Apocalypse Code	2007
29721	1951715281	eng	3163961	1	1	srt	C+ jing taam	2007
29722	1951741251	eng	3183198	1	1	srt	Jésus de Montréal	1989
29723	1951715337	eng	3164009	1	1	srt	Executive Action	1973
29724	1951983536	eng	3378861	1	1	srt	1612: Khroniki smutnogo vremeni	2007
29731	1951739846	eng	3182145	1	1	srt	Vratne lahve	2007
29732	1951715449	eng	3164099	1	1	srt	Kunoichi ninpô chô Yagyû gaiden: Edobana jigoku-hen	1998
29734	1951715476	eng	3164105	1	1	srt	Al otro lado	2004
29735	1951715478	eng	3164107	1	1	srt	Cheut ai kup gei	2007
29736	1952076394	eng	3462627	1	1	srt	Gekitotsu! Aikidô	1975
29740	1951715566	eng	3164185	1	1	srt	Truite, La	1982
29743	1951889557	eng	3300520	1	1	srt	The King of Kong	2007
29748	1951716875	eng	3165209	1	1	srt	The Ten	2007
29751	1951715724	eng	3164289	1	1	srt	East Side, West Side	1949
29752	1951715739	eng	3164301	1	1	srt	"She diao ying xiong zhuan"	1982
29759	1952028251	eng	3418891	1	1	srt	Phairii phinaat paa mawrana	2006
29769	1951741580	eng	3183451	1	1	srt	Margot at the Wedding	2007
29774	1951715871	eng	3164407	1	1	srt	A Big Hand for the Little Lady	1966
29777	1952069662	eng	3456357	1	1	srt	Je ne suis pas là pour être aimé	2005
29788	1951716002	eng	3164502	1	1	srt	The Battle of the Sexes	1959
29790	1952064492	eng	3451682	1	1	srt	Susannah of the Mounties	1939
29791	1951716010	eng	3164508	1	1	srt	"A Bit of Fry and Laurie" Episode #2.1	1990
29797	1951716029	eng	3164524	1	2	srt	Laaga Chunari Mein Daag	2007
29798	1951716871	eng	3165205	1	1	srt	Arctic Tale	2007
29799	1952141221	eng	3521482	1	1	srt	Doctor Who	1996
29801	177512	eng	129044	1	2	srt	S.O.B.	1981
29802	1952104055	eng	3487795	1	1	srt	Oinaru genei	1999
29803	1952658723	eng	3986066	1	1	srt	The Highway	1935
29804	1952104497	eng	3488207	1	1	srt	Suna no utsuwa	1974
29805	1952308877	eng	3663930	1	1	srt	Gwendoline	1984
29811	1951716130	eng	3164616	1	1	srt	Tri orísky pro Popelku	1973
29812	1951716143	eng	3164627	1	1	srt	Enquête sur le monde invisible	2002
29815	1951716210	eng	3164692	1	1	srt	"A Bit of Fry and Laurie" Episode #2.2	1990
29818	1951730327	eng	3174956	1	1	srt	Black Irish	2007
29819	1951717655	eng	3165852	1	2	srt	Hakase no aishita sûshiki	2006
29821	181572	eng	132078	1	1	srt	Thundercrack!	1975
29822	1951716290	eng	3164761	1	1	srt	Disco Pigs	2001
29823	1951716293	eng	3164764	1	1	srt	"A Bit of Fry and Laurie" Episode #2.3	1990
29825	1951718033	eng	3166150	1	1	srt	When Nietzsche Wept	2007
29826	1951716307	eng	3164778	1	1	srt	Dhan Dhana Dhan Goal	2007
29828	1951716309	eng	3164780	1	1	srt	Nanhe Jaisalmer	2007
29832	1951844841	eng	3264348	1	1	srt	Paranoid Park	2007
29836	1951882015	eng	3294330	1	1	srt	Kung Fu Panda	2008
29838	1951836410	eng	3258519	1	1	srt	In the Shadow of the Moon	2007
29839	1952774772	eng	4100660	1	1	srt	Mind Your Language	1977
29841	1952269147	eng	3630298	1	1	srt	El nino de barro	2007
29845	1952321543	eng	3674923	1	1	srt	Man of the World	1931
29846	1951860727	eng	3277216	1	2	srt	L'ennemi intime	2007
29850	1952165177	eng	3541697	1	1	srt	Urban Cowboy	1980
29855	1952904100	eng	4218322	1	1	srt	The Girl Next Door	2007
29861	1951717678	eng	3165868	1	1	srt	Taxi, Roulotte et Corrida	1958
29862	1952841646	eng	4161654	1	1	srt	Have Dreams, Will Travel	2007
29864	1951827911	eng	3251607	1	1	srt	Mr. Magorium's Wonder Emporium	2007
29866	1951716769	eng	3165152	1	1	srt	Dubai Seenu	2007
29871	1951716917	eng	3165247	1	1	srt	December Boys	2007
29875	1951716976	eng	3165298	1	1	srt	Aggar	2007
29876	1951716979	eng	3165301	1	1	srt	My Friend Ganesha	2007
29877	1951716999	eng	3165313	1	1	srt	Así del precipicio	2006
29881	1952498597	eng	3835157	1	1	srt	"The Lair"	2007
29883	1952037010	eng	3426891	1	6	srt	"Blackpool"	2004
29884	1952295381	eng	3652790	1	1	srt	Captains Courageous	1937
29887	1952447560	eng	3787372	1	1	srt	Carne, La	1991
29894	1951717125	eng	3165429	1	1	srt	Pinto Films: 30 Minutes	2003
29897	1951717332	eng	3165630	1	2	srt	Youth for the Kingdom	1945
29899	1951717373	eng	3165648	1	1	srt	"A Bit of Fry and Laurie" Episode #2.4	1990
29901	1952939773	eng	4249562	1	1	srt	Simona	1974
29903	1951721839	eng	3169097	1	1	srt	"Cranford"	2007
29904	1952043538	eng	3432730	1	1	srt	Enchanted April	1992
29905	1951858302	eng	3275339	1	1	srt	Nanking	2007
29910	1951717451	eng	3165710	1	1	srt	"Hana zakari no kimi tachi he: Ikemen paradaisu"	2007
29919	1951735727	eng	3179134	1	1	srt	Maior Amor do Mundo, O	2006
29921	1951717594	eng	3165822	1	1	srt	Hababam sinifi 3,5	2006
29924	1951717651	eng	3165848	1	1	srt	Kawaita hana	1964
29926	1951926879	eng	3331869	1	1	srt	The Insurgents	2006
29928	1951717679	eng	3165869	1	1	srt	Poisson d'avril	1954
29929	1951717682	eng	3165871	1	1	srt	Carambolages	1963
29930	1951717685	eng	3165874	1	1	srt	Des pissenlits par la racine	1964
29931	1951717686	eng	3165875	1	1	srt	Une souris chez les hommes	1964
29932	1951717688	eng	3165877	1	1	srt	The Spat	1978
29933	1952190080	eng	3562591	1	1	srt	Le gentleman d'Epsom	1962
29936	1951717705	eng	3165893	1	1	srt	50 Lakh	2007
29937	1951717719	eng	3165906	1	2	srt	Jaane Bhi Do Yaaro	1983
29941	1951829323	eng	3252823	1	1	srt	Stardust 6	1995
29943	1951717784	eng	3165967	1	1	srt	C(r)ook	2004
29947	1952301818	eng	3658049	1	1	srt	The Rounders	1965
29949	1951717836	eng	3165995	1	2	srt	Legend of the Lost	1957
29950	1951929847	eng	3334410	1	1	srt	Ripple Effect	2007
29951	1951738495	eng	3181325	1	1	srt	The Ungodly	2007
29952	1951733621	eng	3177588	1	2	srt	Myrin	2006
29958	1952207668	eng	3577876	1	1	srt	Mrs Brown	1997
29959	1951733296	eng	3177329	1	1	srt	Bangkok Love Story	2007
29962	1951830657	eng	3253861	1	2	srt	Zacharovannaya desna	1964
29966	1951717946	eng	3166081	1	2	srt	Mumbai Salsa	2007
29967	1951718001	eng	3166119	1	1	srt	Zinda	2006
29968	1951717959	eng	3166091	1	1	srt	3 p'tits cochons, Les	2007
29974	1951841595	eng	3262487	1	1	srt	Asterix et les Vikings	2006
29975	1951849151	eng	3267750	1	2	srt	In the Name of the King: A Dungeon Siege Tale	2007
29976	1951718086	eng	3166199	1	1	srt	Zimniy vecher v Gagrakh	1985
29978	1951863586	eng	3279657	1	2	srt	Yojohan fusuma no urabari: Shinobi hada	1974
29979	1951718183	eng	3166251	1	1	srt	Bajo las estrellas	2007
29980	1952158142	eng	3535828	1	4	srt	"House of Cards"	1990
29984	1951718209	eng	3166272	1	1	srt	Madrigal	2006
29986	1952203116	eng	3573853	1	1	srt	How the Grinch Stole Christmas!	1966
29989	1951859663	eng	3276333	1	1	srt	I'm Not There.	2007
29991	1952001629	eng	3394897	1	1	srt	Delirious	2006
29992	1951718368	eng	3166338	1	1	srt	"A Bit of Fry and Laurie" Episode #2.5	1990
